sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
71021,IPORT LUXE USB POWER SUPPLY 5V 2.4A BLACK,Sonance,1404.35,1404.35,0.0,983.05,0.0,Matched - price identical
71023,IPORT LUXE USB POWER SUPPLY 5V 2.4A WHITE,Sonance,1404.35,1404.35,0.0,983.05,0.0,Matched - price identical
72106,IPORT CONNECT PoE+ Injector,Sonance,2759.13,2759.13,0.0,1931.4,0.0,Matched - price identical
72109,IPORT CONNECT PoE+ Upgrade,Sonance,2759.13,2759.13,0.0,1931.4,0.0,Matched - price identical
72300,SONANCE CONNECT PRO Case 10.2 Black for iPad 10.2-inch 9th gen|8th gen |7th gen,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72301,IPORT CONNECT PRO Case 10.2 White for iPad 10.2-inch 9th gen|8th gen |7th gen,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72310,IPORT CONNECT PRO Case Mini Black for iPad mini 4th-5th Gen,Sonance,17557.39,17557.39,0.0,12290.18,0.0,Matched - price identical
72311,IPORT CONNECT PRO Case Mini White for iPad mini 4-5,Sonance,17557.39,17557.39,0.0,12290.18,0.0,Matched - price identical
72324,"""""CONNECT PRO Case iPAD Air Black 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72325,"""""CONNECT PRO Case iPAD Air White 10.9"""" or Pro 11""""(5th Gen / 3rd Gen)""",Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72326,"""""CONNECT PRO Case 12.9"""" Black (5th Gen)""",Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72327,"""""CONNECT PRO Case 12.9"""" White (5th Gen)""",Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72329,CONNECT PRO Case Mini Black (6th Gen),Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72330,CONNECT PRO Case Mini White (6th Gen),Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72350,SONANCE CONNECT PRO WallStation Black,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72351,IPORT CONNECT PRO WallStation White,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72352,SONANCE CONNECT PRO BaseStation Black,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
72353,IPORT CONNECT PRO BaseStation White,Sonance,8778.26,8778.26,0.0,6144.79,0.0,Matched - price identical
900651,SONANCE MEDIUM RECTANGLE STAPLE TEMPLATE (5 PAIR PER BOX),Sonance,2330.43,2330.43,0.0,1398.27,0.0,Matched - price identical
901049,SONANCE MEDIUM ROUND STAPLE TEMPLATE (5 PAIR PER BOX),Sonance,2330.43,2330.43,0.0,1398.27,0.0,Matched - price identical
9134174,2N MIFARE RFID KEY FOB 13.56MHZ,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
91368,SONANCE SS4,Sonance,3106.96,3106.96,0.0,1864.18,0.0,Matched - price identical
91369,SONANCE SS6,Sonance,4660.87,4660.87,0.0,2796.53,0.0,Matched - price identical
