sku,description,sales_price,cost
PSU-10A,"12V 10A 120W Switching power supply, Input:AC100-240V, Output:DC12V10A,Unit size:16.7×10.4×4.7CM, weight:490g, size:,53×41×24CM . support up to 10 CCT",333.5,230.0
PSU-5A,"12V 5A 60W Switching Power Supply with 4 DC connectors for CCTV, can power up to 4 cameras  at the same time.",332.05,229.0
BAT-12V100AH,12V100Ah Semi-Sealed Lead Acid Battery,3550.0,2475.0
BAT-12V45AH,12V45Ah Semi-Sealed Lead Acid Battery,1945.0,1350.0
BAT-12V7AH,12V7Ah Sealed Lead Acid Battery,250.0,175.0
PSU-12V36W,12VDC 36W 3 Pin Power Supply,215.0,150.0
PSU-12V60W,12VDC 60W IEC Power Supply with SA Cable,275.0,195.0
MUPS-17W8.8AH,12VDC 8.8Ah 17W Micro UPS with USB and PoE Output,575.0,395.0
BATT-12V7A,12v 7a battery for 10a PSU,284.2,196.0
HDM48CCOLA1500,15.0M 48G Cherry Cola HDMI AOC,20956.52,14669.57
HDMPEA15A,15.0M PEARL HDMI,8260.869999999999,5782.61
QSH-CBLP-M-500,152 m / 500 ft spool of Plenumrated fou,40260.87,32410.0
QSH-CBL-M-500,152 m / 500 ft spool of four conductor c,29391.3,23660.0
PWR-ADA-2-3,15A MALE TO 10A FEMALE ADAPTER - BACK ENTRY(R-17) Aus R-17,34.2857142857143,24.0
FIBRE-OPTICMAX8K15M,15m 8K Ultra High Speed Fibre-Optic Max (48G),5651.299999999999,3390.7799999999997
NVR-EL16-2U12MP1-4TB,16 CHANNEL 2U 4K NVR - 12MP RESOLUTION - 320MBPS - H.265 - HDMI 4TB INCLUDED (MADE IN KOREA),79877.39,47926.44
POE-16G,16 Port Gigabit Passive PoE Injector,1650.0,1225.0
DS-3E1518P-SI,16 Port Gigabit Smart POE Switch,7731.25,4638.75
NVR-FX16POE-1U4K1-4TB,16CH IP 1U NVR-2HDD BAY-IP 8MP/30FPS (128MBPS)- 16 PORT POE SWITCH 4TB INCLUDED(MADE IN KOREA),47314.78,28388.870000000003
NVR-FX16POE-1U4K1,16CH IP 1U RACKMOUNT NVR - 2HDD - IP RESOLUTION UP TO 8MP/30FPS (128MBPS) - 16 PORT EMBEDDED POE,39804.35,23882.61
NVR-MX16POE-1U4K1-4TB,16CH IP 1U SHELF NVR-2HDD BAY-IP 8MP/30FPS(128MBPS)-16 PORT POE SWITCH 4TB INCLUDED (MADE IN KOREA),42267.83,25360.7
DH-PFS4218-16GT-240,"16x10/100/1000 Base-T、2x1000 Base-X；
IEEE 802.3af/802.3at/Hi-PoE
Port 1/2 ≤60W， Port 3-16 ≤30W
Total≤240W
Weight: 3.5kg
Dimension: 482mm ×300mm ×44mm",6900.41,4758.9
DS-D5019S0-1P0_C,18.5 inch HD Borderless Monitor,1809.05714285714,1266.34
LCD-185,"18.5"" LCD monitor",2167.75,1495.0
EPS1218 DC GEL,18Ah Gel battery,713.428571428571,499.4
NET-CAT6-BK-1M-LQ,1M CAT6 MOULDED FLYLEAD - BLACK NET-CAT6-BK-1M-LQ,31.7142857142857,22.2
NET-CAT6-BK-2M-LQ,1M CAT6 MOULDED FLYLEAD - BLACK NET-CAT6-BK-1M-LQ | 2M CAT6 MOULDED FLYLEAD - BLACK NET-CAT6-BK-2M-LQ,38.6428571428572,27.05
